Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags,Mobile,email_status
"Sydney Occupational Therapy Centre","0414 009 556","78 Harris St, Harris Park NSW 2150, Australia","http://www.sydneypaediatrictherapycentre.com/","poor","No SSL (http only)","reception.spot@gmail.com","4.1","27","https://maps.google.com/?cid=17679782829268952640","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","0414009556",valid
"Unioasis Therapy","1800 104 128","suite 104/1/3 The Crescent, Wentworth Point NSW 2127, Australia","https://www.unioasistherapy.org/","mediocre","No mobile viewport detected","info@unioasistherapy.org","5","1","https://maps.google.com/?cid=12950124485010004358","allied_health","Sydney","vertical:allied_health, website:mediocre, city:sydney, source:google-maps-scraper","0431113108",valid
"The Speech & OT Centre","0402 598 698","9 Parramatta Rd, Lidcombe NSW 2141, Australia","http://www.speechot.com.au/","poor","No SSL (http only)","info@speechot.com.au","4.8","18","https://maps.google.com/?cid=3318522888071625002","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","0402598698",valid
"Occupational Therapy Kids Academy","(02) 8040 0876","Level 3/15 Orion Rd, Lane Cove NSW 2066, Australia","http://otkidsacademy.com.au/","poor","No SSL (http only)","admin@otkidsacademy.com.au","3.9","14","https://maps.google.com/?cid=10892940788967589636","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"SR Occupational Therapy & Rehabilitation Consultants","(02) 9545 3590","85 Burwood Rd, Burwood NSW 2134, Australia","http://srotrehab.com.au/","poor","No SSL (http only)","anup_kumarm@hotmail.com","5","2","https://maps.google.com/?cid=762302171054124778","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"ChatAbout Speech Pathology & Occupational Therapy","(02) 9600 7270","Suite 1/947-949 Victoria Rd, West Ryde NSW 2114, Australia","http://www.chatabout.com.au/","poor","No SSL (http only)","hello@chatabout.com.au","4.2","15","https://maps.google.com/?cid=4264576600619148177","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"Pouch Kids Therapy","0432 323 867","401/7 Help St, Chatswood NSW 2067, Australia","https://www.pouchtherapy.com.au/","mediocre","No mobile viewport detected","hello@pouchtherapy.com.au","5","5","https://maps.google.com/?cid=2443016702220027689","allied_health","Sydney","vertical:allied_health, website:mediocre, city:sydney, source:google-maps-scraper","0432323867",valid
"Square One Therapy Hub","0424 943 297","4 Short St, Kogarah NSW 2217, Australia","https://squareonetherapyhub.com.au/","poor","Site unreachable (timeout)","manager@squareonetherapyhub.com.au","5","12","https://maps.google.com/?cid=14768070035423251129","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","0424943297",valid
"Active OT For Kids","(02) 9369 1957","13/97 Grafton St, Bondi Junction NSW 2022, Australia","http://activeot4kids.com/","poor","No SSL (http only)","info@activeot4kids.com","4.6","9","https://maps.google.com/?cid=14416285474481709943","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"Vanessa Chan Speech Pathology","(02) 9072 9949","Conder St, Burwood NSW 2134, Australia","http://www.vanessachanspeechpathology.com.au/","poor","No SSL (http only)","Connect@VanessaChanSpeechPathology.com","5","30","https://maps.google.com/?cid=6536815458364051027","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"Sydney Speech Clinic","(02) 8404 0715","1 Pottery Ln, Lane Cove NSW 2066, Australia","http://sydneyspeechclinic.com.au/","poor","No SSL (http only)","info@sydneyspeechclinic.com.au","4.9","37","https://maps.google.com/?cid=12378231905327694787","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"Speech Therapy Sydney","0414 049 981","35 Alice St, Auburn NSW 2144, Australia","http://speechtherapysydney.org/","poor","No SSL (http only)","info@caseysupportservices.com.au","4.8","32","https://maps.google.com/?cid=3133035963754118135","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"Sydney Speech & Language Centre","(02) 9712 8555","2/284 Great N Rd, Wareemba NSW 2046, Australia","http://www.sydneyspeech.com.au/","poor","No SSL (http only)","info@sydneyspeech.com.au","5","25","https://maps.google.com/?cid=16269319479167753200","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"Banter Speech & Language","(02) 8757 3838","115 Queen St, North Strathfield NSW 2137, Australia","http://www.banterspeech.com.au/","poor","No SSL (http only)","reception@banterspeech.com.au","4.7","15","https://maps.google.com/?cid=9240125308204354262","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
"JK Speech and Health Services","(02) 8719 0895","89 St Hilliers Rd, Auburn NSW 2144, Australia","http://www.jksh.com.au/","poor","No SSL (http only)","info@jksh.com.au","4.6","78","https://maps.google.com/?cid=2996804699796728081","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper","",valid
