Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags,Mobile,email_status
"Sydney Doctors","(02) 9233 3399","Level 1/70 Pitt St, Sydney NSW 2000, Australia","http://sydneydoctors.com.au/","poor","No SSL (http only)","reception@sydneydoctors.com.au","4.8","787","https://maps.google.com/?cid=3719950696552853935","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"World Square CBD Medical Centre","(02) 9777 0024","Within Priceline Pharmacy, World Square Shopping Centre, Lower Ground Level, Shop 9.01c/644 George St, Sydney NSW 2000, Australia","http://www.squaremedical.com.au/","poor","No SSL (http only)","info@squaremedical.com.au","3.3","505","https://maps.google.com/?cid=6723068250031107128","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Arys Health","(02) 8188 2299","Suite 12 Level 7/428 George St, Sydney NSW 2000, Australia","https://www.aryshealth.com.au/","mediocre","No mobile viewport detected","info@aryshealth.com.au","3.4","180","https://maps.google.com/?cid=8740404158582100231","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Crown St Medical Centre","(02) 9360 3338","351 Crown St, Surry Hills NSW 2010, Australia","https://www.crownstmedicalcentre.com.au/","mediocre","No mobile viewport detected","reception@crownstmedicalcentre.com.au","4.6","593","https://maps.google.com/?cid=7198880848937280743","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Observatory Tower Medical Centre","(02) 9252 7500","5/168 Kent St, Sydney NSW 2000, Australia","http://www.otmc.com.au/","poor","No SSL (http only)","enquiries@otmc.com.au","3.4","32","https://maps.google.com/?cid=16984422068066950848","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Poet's Corner Medical Centre","(02) 9698 3060","631/633 Elizabeth St, Waterloo NSW 2017, Australia","https://www.poetscornermc.com.au/","mediocre","No mobile viewport detected","admin@poetscornermc.com.au","4.5","297","https://maps.google.com/?cid=14050342633125129164","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"DC Medical Centre","(02) 9167 5760","13C Burton St, Darlinghurst NSW 2010, Australia","http://www.dcmedical.com.au/","poor","No SSL (http only)","reception@dcmedical.com.au","5","62","https://maps.google.com/?cid=1569690487393229774","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Dental Clinic @ World Tower","(02) 9269 0514","Level 11 Suite 1104/87-89 Liverpool St, Sydney NSW 2000, Australia","http://www.bestdentist.com.au/","poor","No SSL (http only)","admin@bestdentist.com.au","4.8","499","https://maps.google.com/?cid=11314865459285521328","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Sydney Dental Clinics - Bondi Junction","(02) 9369 1830","3/79-85 Oxford St, Bondi Junction NSW 2022, Australia","https://www.sydneydentalclinics.com.au/","mediocre","No mobile viewport detected","bsydneydentalclinics@gmail.com","5","97","https://maps.google.com/?cid=4829045333677226539","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"iPHYSIO Australia","(02) 9739 6783","8/10 Edwin St, Mortlake NSW 2137, Australia","http://www.iphysioaustralia.com.au/","poor","No SSL (http only)","reception@iphysioaustralia.com.au","4.9","208","https://maps.google.com/?cid=11833629101764685565","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Sydney Sports Physio + Fitness","0413 309 903","Level 4 No/30 Pitt St, Sydney NSW 2000, Australia","http://www.sydney-sports-physio.com.au/","poor","No SSL (http only)","Admin@Sydney-Sports-Physio.com.au","5","98","https://maps.google.com/?cid=4506128345150212110","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","0413309903",valid
"PhysiCo City Physiotherapy","(02) 9267 3775","Level 2/127 Bathurst St, Sydney NSW 2000, Australia","http://www.physicocityphysio.com.au/","poor","No SSL (http only)","admin@physico.me","4.9","272","https://maps.google.com/?cid=18310575410063581579","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Macquarie Street Physiotherapy","(02) 9221 1604","Park House, Level 5/187 Macquarie St, Sydney NSW 2000, Australia","http://www.macquariestphysio.com.au/","poor","No SSL (http only)","physio@macquariestphysio.com.au","4.9","53","https://maps.google.com/?cid=1931794582989975156","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"City Physio & Pilates","(02) 9223 1575","rear of the foodcourt, Shop 10 Level 6/25 Martin Pl, Sydney NSW 2000, Australia","https://www.cityphysio.com.au/","mediocre","No mobile viewport detected","hello@cityphysio.com.au","5","228","https://maps.google.com/?cid=1427636409824009857","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Elite Spinal Physiotherapy and Pilates Sydney CBD","(02) 9188 7488","16a Loftus St, Sydney NSW 2000, Australia","http://www.elitespinalphysio.com.au/","poor","No SSL (http only)","info@elitespinalphysio.com.au","5","84","https://maps.google.com/?cid=5886832856078938035","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Momentum Physiotherapy & Health Services","1300 330 331","259 George St, Sydney NSW 2000, Australia","http://www.momentumphysio.com/","poor","No SSL (http only)","info@momentumphysio.com","5","76","https://maps.google.com/?cid=5426007094184463791","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Central Performance","(02) 9280 2322","Suite 1, Ground Floor/418A Elizabeth St, Surry Hills NSW 2010, Australia","https://www.centralperformance.com.au/","mediocre","No mobile viewport detected","info@centralperformance.com.au","4.8","103","https://maps.google.com/?cid=3845142723538556468","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Glebe Physio","(02) 9168 5992","181A Glebe Point Rd, Glebe NSW 2037, Australia","http://www.glebephysiotherapy.com.au/","poor","No SSL (http only)","info@glebephysiotherapy.com.au","5","113","https://maps.google.com/?cid=13587291255356532863","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"SpinalCare Chiropractic & Massage","(02) 8964 6385","4/7 Murray Rose Ave, Sydney Olympic Park NSW 2127, Australia","http://www.spinalcarechiropractic.com.au/","poor","No SSL (http only)","admin@spinalcarechiropractic.com.au","4.8","120","https://maps.google.com/?cid=17909855801907298196","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Westside Sports Chiropractic","(02) 9145 0348","1B/10 Henley Rd, Homebush West NSW 2140, Australia","https://westsidesportschiro.com.au/","mediocre","No mobile viewport detected","admin@westsidesportschiro.com.au","5","123","https://maps.google.com/?cid=12026350965286970707","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Complete City Health Chiropractor Sydney","1300 141 473","Level 21/31 Market St, Sydney NSW 2000, Australia","http://www.completecityhealth.com.au/","poor","No SSL (http only)","Frontdesk@completecityhealth.com.au","4.9","92","https://maps.google.com/?cid=10318434340470619976","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Sun Chiropractic","0490 818 756","Level 1 Shop 20/11/15 Deane St, Burwood NSW 2134, Australia","http://www.sunchiropractic.com.au/","poor","No SSL (http only)","hello@sunchiropractic.com.au","5","101","https://maps.google.com/?cid=12015008609890428321","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","0490818756",valid
"Sydney Osteopathy","(02) 9369 5672","2 Grosvenor St, Bondi Junction NSW 2022, Australia","http://www.sydneyosteopathy.com.au/","poor","No SSL (http only)","reception@sydneyosteopathy.com.au","4.8","58","https://maps.google.com/?cid=15400444218892500216","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"Rejuvenate Healthcare Co - Osteopath Manly","0490 448 796","5 Rialto Ln, Manly NSW 2095, Australia","https://rejuvenateosteopathy.com/","mediocre","No mobile viewport detected","info@rejuvenateosteopathy.com","5","93","https://maps.google.com/?cid=3408085469011932457","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper","0400434867",valid
"Osteopath Vince","0405 258 732","Level 1/17 Randle St, Surry Hills NSW 2010, Australia","http://www.osteopathvince.com.au/","poor","No SSL (http only)","info@osteopathvince.com.au","5","17","https://maps.google.com/?cid=3569213999307072277","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","0405258732",valid
"Wholistic Medical Centre","(02) 9211 3811","1/17 Randle St, Surry Hills NSW 2010, Australia","http://wholisticmedicalcentre.com.au/","poor","No SSL (http only)","info@wholisticmedicalcentre.com.au","4.8","198","https://maps.google.com/?cid=9901907558765070818","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper","",valid
"CBD Doctors Melbourne","(03) 9077 9912","10/53 Queen St, Melbourne VIC 3000, Australia","http://www.cbddoctorsmelbourne.com.au/","poor","No SSL (http only)","reception@cbddocs.com.au","3.8","394","https://maps.google.com/?cid=15885157888920459279","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Errol Street Medical Centre","(03) 9329 7011","1/65 Errol St, North Melbourne VIC 3051, Australia","http://www.errolstreetmedicalcentre.com.au/","poor","No SSL (http only)","admin@errolstreetmedicalcentre.com.au","4","52","https://maps.google.com/?cid=9794576721382620300","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Clarendon Medical","(03) 9960 2800","446 Clarendon St, South Melbourne VIC 3205, Australia","http://www.clarendonmedical.com.au/","poor","No SSL (http only)","reception@clarendonmedical.com.au","5","9","https://maps.google.com/?cid=14829016120840461292","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Dentist Melbourne Clinic","(03) 9998 2636","302/620 Bourke St, Melbourne VIC 3000, Australia","https://www.dentistmelbourneclinic.com.au/","poor","Site unreachable (timeout)","dentistmelbourneclinic@gmail.com","4.8","331","https://maps.google.com/?cid=17389537892406387971","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Happy Dentistry","(03) 9663 3401","Level 3/181 Swanston St, Melbourne VIC 3000, Australia","https://happy-dentistry.com.au/","mediocre","No mobile viewport detected","info@happy-dentistry.com.au","4.9","392","https://maps.google.com/?cid=10984053693400850336","clinics","Melbourne","vertical:clinics, website:mediocre, city:melbourne, source:google-maps-scraper","",valid
"Genesis Dentists Melbourne","(03) 7020 9166","Arden Gardens, Shop 2/168 Macaulay Rd, North Melbourne VIC 3051, Australia","https://genesisdentists.com.au/","mediocre","No mobile viewport detected","admin@genesisdentists.au","4.9","340","https://maps.google.com/?cid=16057602321615864988","clinics","Melbourne","vertical:clinics, website:mediocre, city:melbourne, source:google-maps-scraper","",valid
"North Melbourne Dental","(03) 9328 1477","91 Errol St, North Melbourne VIC 3051, Australia","http://northmelbournedental.com.au/","poor","No SSL (http only)","info@northmelbournedental.com.au","4.7","135","https://maps.google.com/?cid=8163658539120924224","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Collins Street Specialist Centre","(03) 9650 2726","Level 8, 220 Collins Street Manchester Unity Building, Melbourne VIC 3000, Australia","http://www.collinsstreetspecialistcentre.com.au/","poor","No SSL (http only)","theteam@collinsstreetspecialistcentre.com.au","5","93","https://maps.google.com/?cid=9357350646667586701","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Errol Street Physio","(03) 9329 9988","52 Errol St, North Melbourne VIC 3051, Australia","http://www.errolstphysio.com.au/","poor","No SSL (http only)","info@errolstphysio.com.au","4.9","163","https://maps.google.com/?cid=3165001235384328229","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Viva Physiotherapy","(03) 9663 2043","2/406 Collins St, Melbourne VIC 3000, Australia","https://vivaphysiotherapy.com/","mediocre","No mobile viewport detected","info@flexphysio.com.au","5","60","https://maps.google.com/?cid=15987480725490746458","clinics","Melbourne","vertical:clinics, website:mediocre, city:melbourne, source:google-maps-scraper","",valid
"Align Chiropractic","(03) 9696 1057","265 Montague St, South Melbourne VIC 3205, Australia","http://www.alignchiropractic.com.au/","poor","No SSL (http only)","info@alignchiropractic.com.au","5","41","https://maps.google.com/?cid=10191620597632865035","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Complete City Health Chiropractor Melbourne City","1300 894 846","The Wellness Center, 555 Collins St, Melbourne VIC 3000, Australia","https://cchmelbourne.com.au/","mediocre","No mobile viewport detected","info@completecityhealth.com.au","5","17","https://maps.google.com/?cid=1057567394431526744","clinics","Melbourne","vertical:clinics, website:mediocre, city:melbourne, source:google-maps-scraper","",valid
"Principle Four Osteopathy","(03) 9662 2147","Level 4/178 Collins St, Melbourne VIC 3000, Australia","https://principlefourosteopathy.com.au/","mediocre","No mobile viewport detected","info@principle4.com","5","166","https://maps.google.com/?cid=15979984373791176265","clinics","Melbourne","vertical:clinics, website:mediocre, city:melbourne, source:google-maps-scraper","",valid
"Middle Park Osteopathic Clinic Melbourne","0421 087 564","63 Park St, St Kilda West VIC 3182, Australia","http://www.middleparkosteopathicclinic.com.au/","poor","No SSL (http only)","info@middleparkosteo.com.au","4.9","124","https://maps.google.com/?cid=11645130238102640785","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Osteopathic Movement South Yarra","0452 320 669","50/52 Wilson St, South Yarra VIC 3141, Australia","http://www.osteopathicmovement.com/","poor","No SSL (http only)","dayne@osteopathicmovement.com","5","159","https://maps.google.com/?cid=4770006273431672603","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","0452320669",valid
"Osteo In Port","0499 612 198","Level 1/330 Bridge St, Port Melbourne VIC 3207, Australia","http://www.osteoinport.com.au/","poor","No SSL (http only)","dan@osteoinport.com.au","4.9","47","https://maps.google.com/?cid=8474488248253076268","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","0499612198",valid
"South Melbourne Osteopathic Clinic","(03) 9537 2494","179 Canterbury Rd, Middle Park VIC 3206, Australia","https://www.southmelbourneosteopathicclinic.com.au/","mediocre","No mobile viewport detected","joshuabrohier@optusnet.com.au","4.9","77","https://maps.google.com/?cid=7237674893932229973","clinics","Melbourne","vertical:clinics, website:mediocre, city:melbourne, source:google-maps-scraper","0412230403",valid
"Sun Health Chiropractic","(03) 9882 2768","Shop 1/31 Queens Ave, Hawthorn VIC 3122, Australia","http://www.sunhealth.com.au/","poor","No SSL (http only)","sunhealthchiro@hotmail.com","4.8","116","https://maps.google.com/?cid=4482193510857256126","clinics","Melbourne","vertical:clinics, website:poor, city:melbourne, source:google-maps-scraper","0425816349",valid
"Queen Street Medical Centre","(07) 3229 9355","Level 6/141 Queen St, Brisbane City QLD 4000, Australia","https://www.queenstreetmedicalcentre.com.au/","mediocre","No mobile viewport detected","admin@queenstmed.com.au","4.4","257","https://maps.google.com/?cid=14907859884214415522","clinics","Brisbane","vertical:clinics, website:mediocre, city:brisbane, source:google-maps-scraper","",valid
"Kangaroo Point Medical Centre","(07) 3391 8008","289 Shafston Ave, Kangaroo Point QLD 4169, Australia","https://www.kangaroopointmedicalcentre.com.au/","mediocre","No mobile viewport detected","info@kangaroopointmedicalcentre.com.au","4.6","726","https://maps.google.com/?cid=6211643127842295021","clinics","Brisbane","vertical:clinics, website:mediocre, city:brisbane, source:google-maps-scraper","0401641131",valid
"Dockside Medical Hub","(07) 2100 0433","35 Ferry St, Kangaroo Point QLD 4169, Australia","http://www.docksidemedicalhub.com/","poor","No SSL (http only)","docksidemedicalhub@outlook.com","4.3","309","https://maps.google.com/?cid=10750449628005703157","clinics","Brisbane","vertical:clinics, website:poor, city:brisbane, source:google-maps-scraper","",valid
"Sirona Women's Health Brisbane Female GP","(07) 3130 2230","1/720 Ipswich Rd, Annerley QLD 4103, Australia","http://www.sironawomenshealth.com.au/","poor","No SSL (http only)","reception@sironawh.com.au","4.6","29","https://maps.google.com/?cid=16690022705569833650","clinics","Brisbane","vertical:clinics, website:poor, city:brisbane, source:google-maps-scraper","",valid
"Value Dental Centres Brisbane","(07) 3155 3919","Level 1/385 MacArthur Ave, Hamilton QLD 4007, Australia","https://valuedentalcentres.com.au/","mediocre","No mobile viewport detected","info@valuedentalcentres.com.au","4.9","524","https://maps.google.com/?cid=12880208402960930563","clinics","Brisbane","vertical:clinics, website:mediocre, city:brisbane, source:google-maps-scraper","",valid
"The Practice - West End Dentist","(07) 3733 3223","The Eaves at West Village, Suite 1 Level 1/111 Boundary St, West End QLD 4101, Australia","https://thepracticedental.com.au/","mediocre","No mobile viewport detected","admin@thepracticedental.com.au","4.9","334","https://maps.google.com/?cid=4347704320590945856","clinics","Brisbane","vertical:clinics, website:mediocre, city:brisbane, source:google-maps-scraper","",valid
"Barefoot Physiotherapy Best Physio Team Brisbane","1300 842 850","28 Curzon St, Tennyson QLD 4105, Australia","http://www.barefootphysiotherapy.com.au/","poor","No SSL (http only)","hello@barefootphysiotherapy.com.au","5","232","https://maps.google.com/?cid=557365605909875240","clinics","Brisbane","vertical:clinics, website:poor, city:brisbane, source:google-maps-scraper","",valid
"The Health Collab","(07) 3172 6616","Suite 2/400 Gregory Ter, Spring Hill QLD 4000, Australia","http://www.thehealthcollab.com.au/","poor","No SSL (http only)","info@thehealthcollab.com.au","5","135","https://maps.google.com/?cid=11934869363664484265","clinics","Brisbane","vertical:clinics, website:poor, city:brisbane, source:google-maps-scraper","",valid
"Brisbane HPC Physiotherapy and Sports Rehab","0429 622 254","1/212 Logan Rd, Woolloongabba QLD 4102, Australia","https://www.brisbanehpc.com/","mediocre","No mobile viewport detected","admin@brisbanehpc.com","5","165","https://maps.google.com/?cid=17581138132583393310","clinics","Brisbane","vertical:clinics, website:mediocre, city:brisbane, source:google-maps-scraper","0429622254",valid
"Brisbane Sports Medicine","(07) 3037 0600","232 Kelvin Grove Rd, Kelvin Grove QLD 4059, Australia","https://brisbanesportsmedicine.com/","mediocre","No mobile viewport detected","admin@brisbanesportsmedicine.com","5","52","https://maps.google.com/?cid=14432743364879538985","clinics","Brisbane","vertical:clinics, website:mediocre, city:brisbane, source:google-maps-scraper","",valid
"Lindsay Trigar Physiotherapy","(07) 3831 8111","537 Boundary St, Spring Hill QLD 4000, Australia","http://www.lindsaytrigar.com.au/","poor","No SSL (http only)","info@lindsaytrigar.com.au","5","101","https://maps.google.com/?cid=4968689164292425400","clinics","Brisbane","vertical:clinics, website:poor, city:brisbane, source:google-maps-scraper","",valid
