Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags,Mobile,email_status
"Anytime Fitness Chippendale","0427 091 806","110 Central Park Mall, 28 Broadway, Chippendale NSW 2008, Australia","https://www.anytimefitness.com.au/gyms/au-1744/chippendale-nsw-2008/","mediocre","No mobile viewport detected","anytimecs@debitsuccess.com","4.7","412","https://maps.google.com/?cid=14413391702077769843","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper","0427091806",valid
"SOMA Health & Wellness Club","(02) 9169 9849","Aurora Place, Ground Floor/88 Phillip St, Sydney NSW 2000, Australia","https://www.somacollection.com.au/","mediocre","Very thin site (minimal content)","hello@somacollection.com.au","4.9","284","https://maps.google.com/?cid=10625446550317425340","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Ultimate Fitness Centre","0409 207 575","Ground Floor/305 Kent St, Sydney NSW 2000, Australia","http://ultimatefitnesscentre.com.au/","poor","No SSL (http only)","info@ultimatefitnesscentre.com.au","4.9","69","https://maps.google.com/?cid=12254392795249179324","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","",valid
"Prime Strength","0428 877 307","1/228 Elizabeth St, Surry Hills NSW 2010, Australia","http://www.primestrength.com.au/","poor","No SSL (http only)","info@primestrength.com.au","4.7","79","https://maps.google.com/?cid=2874048279237610866","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","0428877307",valid
"Fortis Fit Personal Training","0489 078 880","28 Lime St, Sydney NSW 2000, Australia","https://www.fortisfit.com.au/","mediocre","No mobile viewport detected","info@fortisfit.com.au","4.9","60","https://maps.google.com/?cid=14622601103024934954","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper","0489078880",valid
"Gains Fitness","0498 520 312","100-104 Parramatta Rd, Stanmore NSW 2048, Australia","https://gainsfitness.com.au/","mediocre","No mobile viewport detected","info@gainsfitness.com.au","5","41","https://maps.google.com/?cid=12868770595622489786","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper","0420742010",valid
"Authentic Personal Training","(02) 8040 5892","1/22 Willoughby Rd, Crows Nest NSW 2065, Australia","http://www.authenticpt.com.au/","poor","No SSL (http only)","info@authenticpt.com.au","5","229","https://maps.google.com/?cid=14309666554674772999","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","",valid
"The Training Collective","0431 596 134","Shop 11/23-31 Darlinghurst Rd, Potts Point NSW 2011, Australia","https://trainingcollective.com.au/","poor","Site unreachable (timeout)","chris@trainingcollective.com.au","5","70","https://maps.google.com/?cid=9095441335876984415","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","0431596134",valid
"CrossFit Marrickville","0401 540 942","72/74 Shepherd St, Marrickville NSW 2204, Australia","http://crossfitmarrickville.com.au/","poor","No SSL (http only)","info@crossfitmarrickville.com.au","5","121","https://maps.google.com/?cid=9493471729562955126","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","0401540942",valid
"Accelerate Strength","0498 281 066","Unit 17/5-13 Parsons St, Rozelle NSW 2041, Australia","http://www.acceleratestrength.com.au/","poor","No SSL (http only)","info@acceleratestrength.com.au","5","98","https://maps.google.com/?cid=4567512305287418001","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","0498281066",valid
"InnerWest CrossFit","0411 839 942","51 Justin St, Lilyfield NSW 2040, Australia","https://www.innerwestcrossfit.com.au/","mediocre","No mobile viewport detected","rapturefitnessau@gmail.com","5","122","https://maps.google.com/?cid=12364528178562161198","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper","0411839942",valid
"CFH Fitness - Home of CrossFit Hurstville","(02) 8065 5352","2/68 Roberts Ave, Mortdale NSW 2223, Australia","http://www.crossfithurstville.com.au/","poor","No SSL (http only)","info@cfhfitness.com.au","5","143","https://maps.google.com/?cid=10030214762628768552","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper","",valid
