Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags,Mobile,email_status
"Black and White Finance","0448 890 186","Suite 404/65 York St, Sydney NSW 2000, Australia","http://www.blackandwhitefinance.com.au/","poor","No SSL (http only)","info@blackandwhitefinance.com.au","5","451","https://maps.google.com/?cid=4575504321094926726","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","0448890186",valid
"Unconditional Finance Mortgage Brokers Sydney","1300 484 390","Level 2/140 William St, Woolloomooloo NSW 2011, Australia","http://www.unconditionalfinance.com.au/","poor","No SSL (http only)","updates@unconditionalfinance.com.au","5","413","https://maps.google.com/?cid=15094084936214849818","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","",valid
"Strategic Brokers","(02) 8188 1088","Level 20/233 Castlereagh St, Sydney NSW 2000, Australia","http://www.strategicbroker.com.au/","poor","No SSL (http only)","info@strategicbroker.com.au","5","290","https://maps.google.com/?cid=2638244507939744936","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","",valid
"Legal Home Loans","(02) 9030 0420","Suite 6.02, Level 6/1 Castlereagh St, Sydney NSW 2000, Australia","http://www.legalhomeloans.com.au/","poor","No SSL (http only)","enquiries@legalhomeloans.com.au","4.9","588","https://maps.google.com/?cid=9432071474710334609","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","",valid
"Eden Emerald Mortgages","1300 889 027","Level 5/20 Bond St, Sydney NSW 2000, Australia","http://edenemeraldmortgages.com.au/","poor","No SSL (http only)","shaunb@edenemeraldmortgages.com.au","5","232","https://maps.google.com/?cid=17052554087952590627","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","0400000000",valid
"Mortgage Channel","0423 255 525","E Cres St, Lavender Bay NSW 2060, Australia","http://mortgagechannel.com.au/","poor","No SSL (http only)","michael@mortgagechannel.com.au","5","771","https://maps.google.com/?cid=12394778201524329657","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","0423255525",valid
"Talk To A Broker","1300 123 125","Level 20/233 Castlereagh St, Sydney NSW 2000, Australia","http://talktoabroker.com.au/","poor","No SSL (http only)","admin@talktoabroker.com.au","5","789","https://maps.google.com/?cid=17919921964317588064","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper","",valid
"KP Mortgage - Barangaroo Home Loan Specialist","(02) 8974 1452","International Towers, Level 35/100 Barangaroo Ave, Barangaroo NSW 2000, Australia","https://www.kpmortgage.com.au/","mediocre","No mobile viewport detected","info@kpmortgage.com.au","5","62","https://maps.google.com/?cid=16783880947007859890","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:mediocre, city:sydney, source:google-maps-scraper","0400000000",valid
"My Mortgage Freedom","(03) 8256 1914","2 Albert Pl, South Melbourne VIC 3205, Australia","http://www.mymortgagefreedom.com.au/","poor","No SSL (http only)","mail@mymf.com.au","5","357","https://maps.google.com/?cid=9270904751845837885","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:poor, city:melbourne, source:google-maps-scraper","",valid
"The Australian Lending & Investment Centre","1300 254 228","27/360 Collins St, Melbourne VIC 3000, Australia","https://www.alic.com.au/","mediocre","No mobile viewport detected","enquiries@alic.com.au","4.9","252","https://maps.google.com/?cid=13037087315982976207","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:mediocre, city:melbourne, source:google-maps-scraper","",valid
"Smart Lending - Mortgage Brokers","(03) 8746 2354","696 corner of Bourke and Spencer St, Docklands VIC 3000, Australia","https://www.smart-lending.com.au/","mediocre","No mobile viewport detected","Gracesullivan@email.com","5","277","https://maps.google.com/?cid=15138902320147758348","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:mediocre, city:melbourne, source:google-maps-scraper","0417331027",valid
"Accession Finance: Mortgage Brokers Melbourne","(03) 9397 2824","4/84 Ferguson St, Williamstown VIC 3016, Australia","http://www.accessionfinance.com.au/","poor","No SSL (http only)","info@accessionfinance.com.au","5","252","https://maps.google.com/?cid=16166473887512671632","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Loan Market Luu Van","0402 340 439","suite 1111 level 11/1 Queens Rd, Melbourne VIC 3004, Australia","http://www.loanmarket.com.au/brokers/luu-van","poor","No SSL (http only)","luu.van@loanmarket.com.au","5","93","https://maps.google.com/?cid=13636234743853600766","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:poor, city:melbourne, source:google-maps-scraper","0402340439",valid
"Finance for Living Pty Ltd","0424 241 262","Level/5/111 Cecil St, South Melbourne VIC 3205, Australia","https://www.financeforliving.com.au/","mediocre","No mobile viewport detected","admin@financeforliving.com.au","5","150","https://maps.google.com/?cid=5883362387481339721","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:mediocre, city:melbourne, source:google-maps-scraper","0424241262",valid
"Loan Market Align - Josh Gilbert","0400 003 347","Level 14/600 St Kilda Rd, Melbourne VIC 3004, Australia","https://broker.loanmarket.com.au/loan-market-align","mediocre","No mobile viewport detected","josh.gilbert@loanmarket.com.au","5","233","https://maps.google.com/?cid=1813362690301335917","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:mediocre, city:melbourne, source:google-maps-scraper","0400003347",valid
"Solution Home Loans","(03) 9123 8423","Level 1 / Suite 5/50 New St, Ringwood VIC 3134, Australia","http://shloans.com.au/","poor","No SSL (http only)","Blair@shloans.com.au","5","282","https://maps.google.com/?cid=13992978185352359141","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:poor, city:melbourne, source:google-maps-scraper","0431081450",valid
"Loan Easy Home Loans & Refinance","(03) 7042 9127","33/328 Reserve Rd, Cheltenham VIC 3192, Australia","http://loaneasy.com.au/","poor","No SSL (http only)","info@loaneasy.com.au","5","256","https://maps.google.com/?cid=18138142656603516528","mortgage_brokers","Melbourne","vertical:mortgage_brokers, website:poor, city:melbourne, source:google-maps-scraper","",valid
"Madd Loans","(07) 3899 0009","12 The Corso, Seven Hills QLD 4170, Australia","http://www.madd.com.au/","poor","No SSL (http only)","save@madd.com.au","5","1051","https://maps.google.com/?cid=6184021864885964923","mortgage_brokers","Brisbane","vertical:mortgage_brokers, website:poor, city:brisbane, source:google-maps-scraper","",valid
"North Brisbane Home Loans","(07) 3889 9719","59 Albany Creek Rd, Aspley QLD 4034, Australia","http://www.northbrisbanehomeloans.com.au/","poor","No SSL (http only)","pat@nbhl.com.au","5","366","https://maps.google.com/?cid=13692850020527058976","mortgage_brokers","Brisbane","vertical:mortgage_brokers, website:poor, city:brisbane, source:google-maps-scraper","",valid
"Crew Financial","1300 350 777","Level 19/10 Eagle St, Brisbane City QLD 4000, Australia","http://www.crewfinancial.com.au/","poor","No SSL (http only)","lendingsupport@crewfinancial.com.au","4.9","373","https://maps.google.com/?cid=376455549444678815","mortgage_brokers","Brisbane","vertical:mortgage_brokers, website:poor, city:brisbane, source:google-maps-scraper","",valid
"Vision Money - Brisbane Mortgage Brokers","(07) 3193 0009","142 Newmarket Rd, Windsor QLD 4030, Australia","http://visionmoney.smartonline.com.au/","poor","No SSL (http only)","bridget@visionmoney.com.au","5","212","https://maps.google.com/?cid=3739941564743674985","mortgage_brokers","Brisbane","vertical:mortgage_brokers, website:poor, city:brisbane, source:google-maps-scraper","0428471491",valid
"The Brokerage","0451 973 662","level 7/270 Adelaide St, Brisbane City QLD 4000, Australia","https://thebrokerage.au/","mediocre","No mobile viewport detected","enquiries@thebrokerage.au","5","256","https://maps.google.com/?cid=13482616608923418082","mortgage_brokers","Brisbane","vertical:mortgage_brokers, website:mediocre, city:brisbane, source:google-maps-scraper","0451973662",valid
