Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags,Mobile,email_status
"Kawada Hair Studio Sydney","(02) 8084 8355","Shop 1/44-56 May St, St Peters NSW 2044, Australia","http://kawadahairstudio.com/","poor","No SSL (http only)","info@kawadahairstudio.com","5","368","https://maps.google.com/?cid=7015713326291091682","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","",valid
"Kamil's Hairdressing","(02) 9268 0092","Picadilly Arcade, 17/210 Pitt St, Sydney NSW 2000, Australia","http://www.kamilshairdressing.com/","poor","No SSL (http only)","admin@kamilshairdressing.com","4.8","315","https://maps.google.com/?cid=8342787165772020765","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","0414591012",valid
"Savvy Hair Boutique","(02) 9239 0988","Shop 5/126 Phillip St, Sydney NSW 2000, Australia","https://savvyhairboutique.com.au/","mediocre","No mobile viewport detected","info@savvyhairboutique.com.au","4.8","153","https://maps.google.com/?cid=13966220661721247332","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Louka & Co","(02) 9283 7911","Shop 1/259 Clarence St, Sydney NSW 2000, Australia","http://www.louka.co/","poor","No SSL (http only)","enquiries@loukahair.com.au","4.8","120","https://maps.google.com/?cid=14699946450161480284","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","",valid
"PALOMA Salon","(02) 9360 7739","320 Oxford St, Paddington NSW 2021, Australia","http://paloma-salon.com/","poor","No SSL (http only)","info@paloma-salon.com","4.6","423","https://maps.google.com/?cid=13726026002869708069","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","",valid
"TONI&GUY","(02) 9264 5533","65 Campbell St, Surry Hills NSW 2010, Australia","https://www.toniandguy.com.au/salons/nsw-locations/surryhills/","mediocre","No mobile viewport detected","surryhills@toniandguy.com.au","4.5","268","https://maps.google.com/?cid=5185592158728896468","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper","0402023031",valid
"Planet Hair","0410 948 704","31 Shelley St, Sydney NSW 2000, Australia","http://www.planethair.com.au/","poor","No SSL (http only)","planethairsydney@gmail.com","4.6","321","https://maps.google.com/?cid=9807373281134086898","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","0410948704",valid
"La Libertine Hair","(02) 9592 0822","161 Elizabeth St, Sydney NSW 2000, Australia","https://www.lalibertinehair.com/","mediocre","No mobile viewport detected","info@lalibertinehair.com","4.7","109","https://maps.google.com/?cid=10488396522559840674","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper","",valid
"Stevie English Hair","1300 696 958","153 Glebe Point Rd, Glebe NSW 2037, Australia","http://stevieenglish.com.au/","poor","No SSL (http only)","salon@stevieenglish.com.au","4.8","343","https://maps.google.com/?cid=18082029744781444417","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","",valid
"Kim Sun Young Liverpool Street","(02) 9264 5800","Shop 2/116/120 Liverpool St, Sydney NSW 2000, Australia","http://kimsunyoung.com.au/","poor","No SSL (http only)","info@kimsunyoung.com.au","4.4","2279","https://maps.google.com/?cid=8618827792952891158","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper","0451317644",valid
