Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags
"Sydney Occupational Therapy Centre","0414 009 556","78 Harris St, Harris Park NSW 2150, Australia","http://www.sydneypaediatrictherapycentre.com/","poor","No SSL (http only)","","4.1","27","https://maps.google.com/?cid=17679782829268952640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Qualia Occupational Therapy for Children","(02) 9555 9776","Level 1/251 Victoria Rd, Gladesville NSW 2111, Australia","http://qualiatherapy.com.au/","poor","No SSL (http only)","","5","4","https://maps.google.com/?cid=7516761526552572196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Hopalong Occupational Therapy for Children","(02) 9746 8111","Unit 33/8 Ave of the Americas, Newington NSW 2127, Australia","http://www.hopalong.com.au/","poor","No SSL (http only)","","4.7","6","https://maps.google.com/?cid=12873406407548706034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"OccCare Australia Pty Ltd","0423 016 605","Unit 14/8 Ave of the Americas, Newington NSW 2127, Australia","http://www.occcare.com.au/","poor","No SSL (http only)","","5","3","https://maps.google.com/?cid=11082172279539300762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Sydney Kids Hand Therapy & Occupational Therapy Centre","0412 390 190","3 Doig Ave, Denistone East NSW 2121, Australia","http://sydneykidshandtherapy.com.au/","poor","No SSL (http only)","","5","8","https://maps.google.com/?cid=8435741254011005877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Unioasis Therapy","1800 104 128","suite 104/1/3 The Crescent, Wentworth Point NSW 2127, Australia","https://www.unioasistherapy.org/","mediocre","No mobile viewport detected","","5","1","https://maps.google.com/?cid=12950124485010004358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:mediocre, city:sydney, source:google-maps-scraper"
"Protea Occupational Therapy","0457 730 002","301/224 Victoria Rd, Drummoyne NSW 2047, Australia","http://proteaoccupationaltherapy.com/","poor","No SSL (http only)","","5","4","https://maps.google.com/?cid=5675112901920331773&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Charis Kids Occupational Therapy","0444 554 560","shop 7/320A-338 Liverpool Rd, Enfield NSW 2136, Australia","http://www.chariskids.com.au/","poor","No SSL (http only)","","5","3","https://maps.google.com/?cid=5361306027695031737&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"The Speech & OT Centre","0402 598 698","9 Parramatta Rd, Lidcombe NSW 2141, Australia","http://www.speechot.com.au/","poor","No SSL (http only)","","4.8","18","https://maps.google.com/?cid=3318522888071625002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Occupational Therapy Kids Academy","(02) 8040 0876","Level 3/15 Orion Rd, Lane Cove NSW 2066, Australia","http://otkidsacademy.com.au/","poor","No SSL (http only)","","3.9","14","https://maps.google.com/?cid=10892940788967589636&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Occupational Therapy Services: All Ages All Stages","(02) 8964 8283","Level 6/2 Meredith St, Bankstown NSW 2200, Australia","http://occtherapyservices.com.au/","poor","No SSL (http only)","","5","6","https://maps.google.com/?cid=9111812401091304595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"Rehabilitation Specialists","1800 073 422","Stone and Chalk, 477 Pitt St, Haymarket NSW 2000, Australia","http://www.rehabilitationspecialists.com.au/","poor","No SSL (http only)","","5","4","https://maps.google.com/?cid=7626785560786134018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"North Shore Kids Therapy","0490 450 537","Suite 301/44 Hampden Rd, Artarmon NSW 2064, Australia","https://northshorekidstherapy.com/","mediocre","No mobile viewport detected","","5","6","https://maps.google.com/?cid=3633663997022517177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:mediocre, city:sydney, source:google-maps-scraper"
"SR Occupational Therapy & Rehabilitation Consultants","(02) 9545 3590","85 Burwood Rd, Burwood NSW 2134, Australia","http://srotrehab.com.au/","poor","No SSL (http only)","","5","2","https://maps.google.com/?cid=762302171054124778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
"ChatAbout Speech Pathology & Occupational Therapy","(02) 9600 7270","Suite 1/947-949 Victoria Rd, West Ryde NSW 2114, Australia","http://www.chatabout.com.au/","poor","No SSL (http only)","","4.2","15","https://maps.google.com/?cid=4264576600619148177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","allied_health","Sydney","vertical:allied_health, website:poor, city:sydney, source:google-maps-scraper"
