Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags
"MedClinic","(02) 9235 0099","70 Pitt St, Sydney NSW 2000, Australia","http://www.med-clinic.net.au/","poor","No SSL (http only)","","3.4","112","https://maps.google.com/?cid=6407840381350104385&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Sydney CBD Medical Centre & Skin Cancer Clinic","(02) 9268 0133","280/282 Pitt St, Sydney NSW 2000, Australia","https://www.sydneycbdmedicalcentre.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","mediocre","No mobile viewport detected","","3.5","411","https://maps.google.com/?cid=2846937976479794572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Sydney Doctors","(02) 9233 3399","Level 1/70 Pitt St, Sydney NSW 2000, Australia","http://sydneydoctors.com.au/","poor","No SSL (http only)","","4.8","787","https://maps.google.com/?cid=3719950696552853935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"World Square CBD Medical Centre","(02) 9777 0024","Within Priceline Pharmacy, World Square Shopping Centre, Lower Ground Level, Shop 9.01c/644 George St, Sydney NSW 2000, Australia","http://www.squaremedical.com.au/","poor","No SSL (http only)","","3.3","505","https://maps.google.com/?cid=6723068250031107128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"City Medical Practice","(02) 9291 9111","2 York Street (Entrance at, 1 Jamison St, Sydney NSW 2000, Australia","https://citymedicalpractice.com.au/","mediocre","No mobile viewport detected","","3.2","455","https://maps.google.com/?cid=2657145364572681941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Bridgeside Medical Centre","(02) 9252 2200","9/200 Cumberland St, Sydney NSW 2000, Australia","http://www.bridgesidemedicalcentre.com.au/","poor","No SSL (http only)","","4.1","103","https://maps.google.com/?cid=15085464005262929282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Qualitas Medical Practice North Sydney","(02) 9922 3022","Shop 2/51 Berry St, North Sydney NSW 2060, Australia","https://qualitashealth.com.au/our-practices/north-sydney-medical-practice-and-skin-cancer-clinic/","mediocre","No mobile viewport detected","","4.5","1094","https://maps.google.com/?cid=126276856681809327&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Macquarie Street Medical Centre","(02) 9232 3323","Macquarie Chambers, Level 1/183 Macquarie St, Sydney NSW 2000, Australia","http://www.macquariestreetmedical.com.au/","poor","No SSL (http only)","","2.7","3","https://maps.google.com/?cid=10370937813853309084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Sydney Central Medical Centre","(02) 9212 3953","306/451 Pitt St, Haymarket NSW 2000, Australia","","no_website","No website listed","","3.2","20","https://maps.google.com/?cid=7909316906325196106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:no_website, city:sydney, source:google-maps-scraper"
"Arys Health","(02) 8188 2299","Suite 12 Level 7/428 George St, Sydney NSW 2000, Australia","https://www.aryshealth.com.au/","mediocre","No mobile viewport detected","","3.4","180","https://maps.google.com/?cid=8740404158582100231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Crown St Medical Centre","(02) 9360 3338","351 Crown St, Surry Hills NSW 2010, Australia","https://www.crownstmedicalcentre.com.au/","mediocre","No mobile viewport detected","","4.6","593","https://maps.google.com/?cid=7198880848937280743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Observatory Tower Medical Centre | GP Clinic in Sydney CBD","(02) 9252 7500","5/168 Kent St, Sydney NSW 2000, Australia","http://www.otmc.com.au/","poor","No SSL (http only)","","3.4","32","https://maps.google.com/?cid=16984422068066950848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Macquarie Street Medical Practice","(02) 9238 0800","Ground Floor/195 Macquarie St, Sydney NSW 2000, Australia","http://www.macquariestreetmedicalpractice.com.au/","poor","No SSL (http only)","","3.6","72","https://maps.google.com/?cid=98174019630221491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"CBD Medical Practice","(02) 9231 1000","Ground Floor/70 Pitt St, Sydney NSW 2000, Australia","http://www.cbdmedicalpractice.com.au/","poor","No SSL (http only)","","3.3","76","https://maps.google.com/?cid=4003445155370920818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Broadway General Practice","(02) 8245 1500","60-64 Bay St, Ultimo NSW 2007, Australia","http://www.broadwaygeneralpractice.com.au/","poor","No SSL (http only)","","4.3","1171","https://maps.google.com/?cid=14069389505181806721&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Poet's Corner Medical Centre","(02) 9698 3060","631/633 Elizabeth St, Waterloo NSW 2017, Australia","https://www.poetscornermc.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","mediocre","No mobile viewport detected","","4.5","297","https://maps.google.com/?cid=14050342633125129164&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Waterloo Medical Centre","(02) 9699 1261","Shop 4/45 Wyndham St, Alexandria NSW 2015, Australia","http://www.waterloomedicalcentre.com.au/","poor","No SSL (http only)","","3.3","183","https://maps.google.com/?cid=16190589170131211250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"DC Medical Centre","(02) 9167 5760","13C Burton St, Darlinghurst NSW 2010, Australia","http://www.dcmedical.com.au/","poor","No SSL (http only)","","5","62","https://maps.google.com/?cid=1569690487393229774&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"University Health Service","(02) 9351 3484","2 Butlin Ave, Darlington NSW 2008, Australia","http://sydney.edu.au/health-service/services/index.php","poor","No SSL (http only)","","2","118","https://maps.google.com/?cid=7905466379968691592&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Bourke Street Clinic","(02) 9332 0400","Level 1/421 Bourke St, Surry Hills NSW 2010, Australia","http://www.thebourkestreetclinic.com.au/","poor","No SSL (http only)","","4.9","511","https://maps.google.com/?cid=5699302698286743011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Sydney CBD Doctors","(02) 8964 8647","101/309 Pitt St, Sydney NSW 2000, Australia","http://www.sydneycbddoctors.com.au/","poor","No SSL (http only)","","2.2","11","https://maps.google.com/?cid=3004051328041028424&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Greenwood Medical Centre","(02) 9922 3022","Shop 2/51 Berry St, North Sydney NSW 2060, Australia","https://qualitashealth.com.au/our-practices/north-sydney-medical-practice-and-skin-cancer-clinic/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page&utm_content=North%20Sydney%20Medical%20Centre","mediocre","No mobile viewport detected","","3.8","51","https://maps.google.com/?cid=11832187848974644191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:mediocre, city:sydney, source:google-maps-scraper"
"Life Medical Clinic","(02) 8399 0611","162/822 Bourke St, Waterloo NSW 2017, Australia","http://lifemedicalclinic.com.au/waterloo/","poor","No SSL (http only)","","4.5","91","https://maps.google.com/?cid=11097047596590553697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
"Kings Cross Clinic","(02) 9358 3066","1/13 Springfield Ave, Potts Point NSW 2011, Australia","http://kingscrossclinic.com.au/","poor","No SSL (http only)","","4.7","23","https://maps.google.com/?cid=11865763322955551600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","clinics","Sydney","vertical:clinics, website:poor, city:sydney, source:google-maps-scraper"
