Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags
"City Gym Sydney","(02) 9360 6247","107 Crown St, Darlinghurst NSW 2010, Australia","http://www.citygym.com.au/","poor","No SSL (http only)","","4.6","335","https://maps.google.com/?cid=14893543910383210947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper"
"Anytime Fitness Chippendale","0427 091 806","110, Central Park Mall, 28 Broadway, Chippendale NSW 2008, Australia","https://www.anytimefitness.com.au/gyms/au-1744/chippendale-nsw-2008/","mediocre","No mobile viewport detected","","4.7","412","https://maps.google.com/?cid=14413391702077769843&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"Snap Fitness Olympic Park 24/7","0481 952 579","3 Australia Ave, Sydney Olympic Park NSW 2127, Australia","https://www.snapfitness.com/au/gyms/sydney-olympic-park/","mediocre","No mobile viewport detected","","4.5","170","https://maps.google.com/?cid=15718574555280709846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"Anytime Fitness Circular Quay","0484 926 351","1/22 Pitt St, Sydney NSW 2000, Australia","https://club.anytimefitness.com.au/sydney-circular-quay-nsw","mediocre","No mobile viewport detected","","4.4","256","https://maps.google.com/?cid=2396595721702299511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"SOMA Health & Wellness Club","(02) 9169 9849","Aurora Place, Ground Floor/88 Phillip St, Sydney NSW 2000, Australia","https://www.somacollection.com.au/","mediocre","Very thin site (minimal content)","","4.9","284","https://maps.google.com/?cid=10625446550317425340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"Anytime Fitness Hyde Park","0413 252 695","Level 4/227 Elizabeth St, Sydney NSW 2000, Australia","https://club.anytimefitness.com.au/sydney-hyde-park-nsw?fbclid=IwAR2gNSA0NTsYgbiPTbLbqPxMeJQ1NMtXu_yaLzmSilgwpyxjaZfGdTeazIE","mediocre","No mobile viewport detected","","4.1","463","https://maps.google.com/?cid=1976250430766938060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"Anytime Fitness Haymarket","0423 741 895","Lower Ground, Floor, 725/731 George St, Haymarket NSW 2000, Australia","https://www.anytimefitness.com.au/gyms/au-1629/haymarket-nsw-2000/?utm_source=google&utm_medium=organic&utm_campaign=gmb","mediocre","No mobile viewport detected","","4.6","899","https://maps.google.com/?cid=14578578982712712468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"Ultimate Fitness Centre - 305 Kent & 120 Sussex St Sydney","0409 207 575","Ground Floor/305 Kent St, Sydney NSW 2000, Australia","http://ultimatefitnesscentre.com.au/","poor","No SSL (http only)","","4.9","69","https://maps.google.com/?cid=12254392795249179324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper"
"One Playground Surry Hills","(02) 9211 3070","429 Elizabeth St, Surry Hills NSW 2010, Australia","https://oneplayground.com.au/gyms/surry-hills/?utm_source=google&utm_medium=organic&utm_campaign=gmb_surryhills","mediocre","No mobile viewport detected","","4.5","694","https://maps.google.com/?cid=3025492430285353743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:mediocre, city:sydney, source:google-maps-scraper"
"Prime Strength","0428 877 307","1/228 Elizabeth St, Surry Hills NSW 2010, Australia","http://www.primestrength.com.au/","poor","No SSL (http only)","","4.7","79","https://maps.google.com/?cid=2874048279237610866&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","gyms","Sydney","vertical:gyms, website:poor, city:sydney, source:google-maps-scraper"
