Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags
"Mortgage Pros","1300 030 388","Level 1/5 George St, North Strathfield NSW 2137, Australia","http://www.mortgagepros.com.au/","poor","No SSL (http only)","","5","1443","https://maps.google.com/?cid=11599112786226175476&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Black and White Finance","0448 890 186","Suite 404/65 York St, Sydney NSW 2000, Australia","http://www.blackandwhitefinance.com.au/","poor","No SSL (http only)","","5","451","https://maps.google.com/?cid=4575504321094926726&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Unconditional Finance Mortgage Brokers Sydney","1300 484 390","Level 2/140 William St, Woolloomooloo NSW 2011, Australia","http://www.unconditionalfinance.com.au/","poor","No SSL (http only)","","5","413","https://maps.google.com/?cid=15094084936214849818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Mortgage Choice Broker Sydney","(02) 9231 0511","Level 2/88 Pitt St, Sydney NSW 2000, Australia","https://www.mortgagechoice.com.au/ryan.pappas/","poor","Site unreachable (429)","","5","118","https://maps.google.com/?cid=1357110990861654536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Strategic Brokers","(02) 8188 1088","Level 20/233 Castlereagh St, Sydney NSW 2000, Australia","http://www.strategicbroker.com.au/","poor","No SSL (http only)","","5","290","https://maps.google.com/?cid=2638244507939744936&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Legal Home Loans","(02) 9030 0420","Suite 6.02, Level 6/1 Castlereagh St, Sydney NSW 2000, Australia","http://www.legalhomeloans.com.au/","poor","No SSL (http only)","","4.9","588","https://maps.google.com/?cid=9432071474710334609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Eden Emerald Mortgages","1300 889 027","Level 5/20 Bond St, Sydney NSW 2000, Australia","http://edenemeraldmortgages.com.au/","poor","No SSL (http only)","","5","232","https://maps.google.com/?cid=17052554087952590627&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"All R Loans","1300 539 718","Suite 1405 / 109 Pitt street, Level 14, Sydney NSW 2000, Australia","http://allrloans.com.au/","poor","No SSL (http only)","","4.9","95","https://maps.google.com/?cid=10974610560721257529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
"Lending Hub Co.","(02) 9174 5360","Suite 3.04/100 Collins St, Alexandria NSW 2015, Australia","https://www.lendinghub.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","mediocre","No mobile viewport detected","","5","288","https://maps.google.com/?cid=14024882752381844744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:mediocre, city:sydney, source:google-maps-scraper"
"Lend & Loan","(02) 8046 3933","Level 35 One International Towers, 100 Barangaroo Avenue 2/14 Coronation Parade, Enfield NSW 2136, Barangaroo NSW 2000, Australia","http://www.lendloan.com.au/","poor","No SSL (http only)","","5","77","https://maps.google.com/?cid=15597473810871529904&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","mortgage_brokers","Sydney","vertical:mortgage_brokers, website:poor, city:sydney, source:google-maps-scraper"
