Business Name,Phone,Address,Website,Website Status,Website Notes,Email,Rating,Review Count,Google Maps URL,Vertical,City,Tags
"Hair by Clement (George Street) By Appt. Only—NO Walk-ins","0452 586 767","level 2/387 George St, Sydney NSW 2000, Australia","https://www.fresha.com/book-now/style-lab-hair-clement-zpg7zuv5/all-offer?id=1330782&pId=1263759","mediocre","No mobile viewport detected","","5","154","https://maps.google.com/?cid=13660649334548358724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Kawada Hair Studio Sydney","(02) 8084 8355","Shop 1/44-56 May St, St Peters NSW 2044, Australia","http://kawadahairstudio.com/","poor","No SSL (http only)","","5","368","https://maps.google.com/?cid=7015713326291091682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Kamil's Hairdressing","(02) 9268 0092","Picadilly Arcade, 17/210 Pitt St, Sydney NSW 2000, Australia","http://www.kamilshairdressing.com/","poor","No SSL (http only)","","4.8","315","https://maps.google.com/?cid=8342787165772020765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Susan Hair & Beauty Salon","0452 567 677","Shop3/500 Elizabeth St, Surry Hills NSW 2010, Australia","http://susanhairandbeautysalon.com.au/","poor","No SSL (http only)","","4.9","2618","https://maps.google.com/?cid=14290807203195344444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Savvy Hair Boutique","(02) 9239 0988","Shop 5/126 Phillip St, Sydney NSW 2000, Australia","https://savvyhairboutique.com.au/","mediocre","No mobile viewport detected","","4.8","153","https://maps.google.com/?cid=13966220661721247332&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Louka & Co","(02) 9283 7911","Shop 1/259 Clarence St, Sydney NSW 2000, Australia","http://www.louka.co/","poor","No SSL (http only)","","4.8","120","https://maps.google.com/?cid=14699946450161480284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Alan Coban","(02) 9221 7070","Shop 2009/Westfield 188 Pitt St, Sydney NSW 2000, Australia","http://alancoban.com.au/","poor","No SSL (http only)","","4.8","406","https://maps.google.com/?cid=975294865236297551&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Feather Factor Hair Studio","(02) 9232 8358","Suite 15 Level 5 Building/428 George St, Sydney NSW 2000, Australia","http://www.featherfactorstudio.com.au/","poor","No SSL (http only)","","5","136","https://maps.google.com/?cid=12480432878217579142&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"L'Etoile Elite","(02) 9223 8841","level 2/387 George St, Sydney NSW 2000, Australia","http://letoileelite.com.au/","poor","No SSL (http only)","","4.3","229","https://maps.google.com/?cid=7819841975569793585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"PALOMA Salon","(02) 9360 7739","320 Oxford St, Paddington NSW 2021, Australia","http://paloma-salon.com/","poor","No SSL (http only)","","4.6","423","https://maps.google.com/?cid=13726026002869708069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Quarry Avenue","0466 185 770","level 3, suite 311/375 George St, Sydney NSW 2000, Australia","http://www.quarryavenue.com.au/","poor","No SSL (http only)","","5","54","https://maps.google.com/?cid=3793391562074753633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"TONI&GUY","(02) 9264 5533","65 Campbell St, Surry Hills NSW 2010, Australia","https://www.toniandguy.com.au/salons/nsw-locations/surryhills/","mediocre","No mobile viewport detected","","4.5","268","https://maps.google.com/?cid=5185592158728896468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Planet Hair","0410 948 704","31 Shelley St, Sydney NSW 2000, Australia","http://www.planethair.com.au/","poor","No SSL (http only)","","4.6","321","https://maps.google.com/?cid=9807373281134086898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Kin Hair","0452 270 123","31 Shelley St, Sydney NSW 2000, Australia","http://www.kinhair.com.au/","poor","No SSL (http only)","","5","82","https://maps.google.com/?cid=11726621958572877113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"John Azzi","(02) 9231 5464","level 11/61-63 Market St, Sydney NSW 2000, Australia","https://johnazzi.com.au/","mediocre","No mobile viewport detected","","4.2","311","https://maps.google.com/?cid=18246134321268147854&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Enhance Styling","(02) 9251 1413","Level 3/312/375 George St, Sydney NSW 2000, Australia","https://enhancestyling.com.au/","mediocre","No mobile viewport detected","","4.8","88","https://maps.google.com/?cid=2377767456073386156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Takeshi & Team","(02) 9212 3699","F1A, 683-689 George St, Sydney NSW 2000, Australia","http://www.takeshiteam.com/","poor","No SSL (http only)","","4.3","452","https://maps.google.com/?cid=2651323558366493334&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Magic Hens Salon","0404 241 984","16/8 Quay St, Haymarket NSW 2000, Australia","","no_website","No website listed","","5","232","https://maps.google.com/?cid=16203090595868270608&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:no_website, city:sydney, source:google-maps-scraper"
"La Libertine Hair","(02) 9592 0822","161 Elizabeth St, Sydney NSW 2000, Australia","https://www.lalibertinehair.com/","mediocre","No mobile viewport detected","","4.7","109","https://maps.google.com/?cid=10488396522559840674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Jacqueline Louise Hair","","King George Chambers, 418B/375 George St, Sydney NSW 2000, Australia","https://www.fresha.com/book-now/jacqueline-louise-hair-nsp3kigh/all-offer?share&pId=806450","mediocre","No mobile viewport detected","","4.9","36","https://maps.google.com/?cid=15326776185981418390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Organic Hair Culture Pyrmont","(02) 8540 7086","96/1-5 Harwood St, Pyrmont NSW 2009, Australia","http://www.organichairculture.com/","poor","No SSL (http only)","","4.8","142","https://maps.google.com/?cid=10141350215323313305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Edge Studio","(02) 9221 2668","shop 7 upper ground floor, 10 Spring st, (access also from 17 O'Connell st ), Sydney NSW 2000, Australia","http://www.edgestudiohairdressing.com/","poor","No SSL (http only)","","4.9","39","https://maps.google.com/?cid=9751053794704318754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"True Hair Collective","0420 453 587","level 11/63 Market St, Sydney NSW 2000, Australia","https://truehaircollective.com/","mediocre","No mobile viewport detected","","5","63","https://maps.google.com/?cid=8877873406744584529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Blu Creativity Japanese Hair Salon","(02) 9264 4405","1.04/39 Liverpool St, Sydney NSW 2000, Australia","http://blucreativity.com/","poor","No SSL (http only)","","4.4","424","https://maps.google.com/?cid=11158556707708815445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Latelier no1","0416 036 828","Shop 3/379-383 Pitt St, Sydney NSW 2000, Australia","https://latelierno1.au/","mediocre","Very thin site (minimal content)","","4.7","620","https://maps.google.com/?cid=16808296362861682467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Stevie English Hair","1300 696 958","153 Glebe Point Rd, Glebe NSW 2037, Australia","http://stevieenglish.com.au/","poor","No SSL (http only)","","4.8","343","https://maps.google.com/?cid=18082029744781444417&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Kim Sun Young Liverpool Street","(02) 9264 5800","Shop 2/116/120 Liverpool St, Sydney NSW 2000, Australia","http://kimsunyoung.com.au/","poor","No SSL (http only)","","4.4","2279","https://maps.google.com/?cid=8618827792952891158&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Tribe Quay Quarter","(02) 9410 1033","10 Loftus Ln, Sydney NSW 2000, Australia","http://tribelifestyle.com.au/","poor","No SSL (http only)","","4.9","103","https://maps.google.com/?cid=10320390146049058954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"DJ’s Creative Hair","(02) 8288 9089","World Square Shopping Centre, Lower Ground, Shop 9.10/644 George St, Sydney NSW 2000, Australia","","no_website","No website listed","","4.6","257","https://maps.google.com/?cid=17219618200182475387&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:no_website, city:sydney, source:google-maps-scraper"
"Valonz","(02) 9360 2444","20/22 Elizabeth St, Paddington NSW 2021, Australia","http://www.valonz.com.au/","poor","No SSL (http only)","","4.7","245","https://maps.google.com/?cid=9109385372193916242&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Jad Hair Sydney","(02) 9699 4422","shop 8/159-161 Redfern St, Redfern NSW 2016, Australia","http://jadhairsydney.com/","poor","No SSL (http only)","","4.9","199","https://maps.google.com/?cid=8469385916071566850&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Junn Hair","0413 795 661","LG2/30 Alfred St S, Milsons Point NSW 2061, Australia","http://junnhair.com/","poor","No SSL (http only)","","4.9","87","https://maps.google.com/?cid=17107214095519526650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Genton Hair","0447 577 901","Shop 03/60 Martin Pl, Sydney NSW 2000, Australia","http://www.gentonhair.com.au/","poor","No SSL (http only)","","4.9","208","https://maps.google.com/?cid=17558012926440696411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"WILD LIFE HAIR SOGO Surry Hills, Sydney","(02) 9211 4940","2/50 Reservoir St, Surry Hills NSW 2010, Australia","http://wildlifehair.com.au/","poor","No SSL (http only)","","4.9","193","https://maps.google.com/?cid=6216277138536207707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Acadèmie Prive","0401 018 585","11/63 Ann St, Surry Hills NSW 2010, Australia","http://www.academiesalon.com/","poor","No SSL (http only)","","4.9","173","https://maps.google.com/?cid=5397391243824235997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Our Place Salon","(02) 8071 4332","1/181 Victoria St, Potts Point NSW 2011, Australia","http://www.ourplacesalon.com.au/","poor","No SSL (http only)","","5","145","https://maps.google.com/?cid=7190446071705006747&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Sterling Hairdressing","0423 050 003","Level 4 16/A/428 George St, Sydney NSW 2000, Australia","http://www.sterlinghairdressing.com/","poor","No SSL (http only)","","4.8","112","https://maps.google.com/?cid=2135242628733592770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Beauty On Park Street","(02) 9221 4688","Suite 17, Level 2/428 George St, Sydney NSW 2000, Australia","http://www.beautyonparkst.com.au/","poor","No SSL (http only)","","4.8","410","https://maps.google.com/?cid=2138951930037191240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Beauty Flow","(02) 9067 1026","2/48 Baywater Dr, Wentworth Point NSW 2127, Australia","http://beautyflow.com.au/","poor","No SSL (http only)","","4.8","121","https://maps.google.com/?cid=2472575783614673382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Susan Hair & Beauty Salon","0452 567 677","Shop3/500 Elizabeth St, Surry Hills NSW 2010, Australia","http://susanhairandbeautysalon.com.au/","poor","No SSL (http only)","","4.9","2618","https://maps.google.com/?cid=14290807203195344444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Hair by Clement (George Street) By Appt. Only—NO Walk-ins","0452 586 767","level 2/387 George St, Sydney NSW 2000, Australia","https://www.fresha.com/book-now/style-lab-hair-clement-zpg7zuv5/all-offer?id=1330782&pId=1263759","mediocre","No mobile viewport detected","","5","154","https://maps.google.com/?cid=13660649334548358724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"That Organic Salon","0411 672 809","Shop11, level 4/428 George St, Sydney NSW 2000, Australia","http://thatorganicsalon.com.au/","poor","No SSL (http only)","","4.5","165","https://maps.google.com/?cid=9639868895519521233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Beauty on Macquarie","0412 427 740","Suite 8 Level 3/229 Macquarie St, Sydney NSW 2000, Australia","http://beautyonmacquarie.com.au/","poor","No SSL (http only)","","4.9","168","https://maps.google.com/?cid=1170080902527284750&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Chez Grace Beauty Sydney","0434 799 322","8a/370 Pitt St, Sydney NSW 2000, Australia","https://chezgracebeauty.com/","mediocre","No mobile viewport detected","","4.9","102","https://maps.google.com/?cid=6843433955475858615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:mediocre, city:sydney, source:google-maps-scraper"
"Lash Blossom","0415 706 836","8/428 George St, Sydney NSW 2000, Australia","http://www.lashblossom.com.au/","poor","No SSL (http only)","","4.9","1058","https://maps.google.com/?cid=7192694365665572727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Kamil's Hairdressing","(02) 9268 0092","Picadilly Arcade, 17/210 Pitt St, Sydney NSW 2000, Australia","http://www.kamilshairdressing.com/","poor","No SSL (http only)","","4.8","315","https://maps.google.com/?cid=8342787165772020765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"L'Etoile Elite","(02) 9223 8841","level 2/387 George St, Sydney NSW 2000, Australia","http://letoileelite.com.au/","poor","No SSL (http only)","","4.3","229","https://maps.google.com/?cid=7819841975569793585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Louka & Co","(02) 9283 7911","Shop 1/259 Clarence St, Sydney NSW 2000, Australia","http://www.louka.co/","poor","No SSL (http only)","","4.8","120","https://maps.google.com/?cid=14699946450161480284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Prime Beauty","0493 220 857","William Bland Centre, Suite 7, Level 9/229 Macquarie St, Sydney NSW 2000, Australia","http://www.primebeauty.com.au/","poor","No SSL (http only)","","4.9","25","https://maps.google.com/?cid=144252182810810620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
"Kim Sun Young Liverpool Street","(02) 9264 5800","Shop 2/116/120 Liverpool St, Sydney NSW 2000, Australia","http://kimsunyoung.com.au/","poor","No SSL (http only)","","4.4","2279","https://maps.google.com/?cid=8618827792952891158&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","salons","Sydney","vertical:salons, website:poor, city:sydney, source:google-maps-scraper"
